place_id,place_name,district,province_or_city,latitude,longitude,category,interest_tags,cost_level,estimated_duration,indoor_outdoor,contact,review_count,popularity_level,hidden_gem_score,source,last_updated
inzira_281371294,Mvenpick Kigali,Nyarugenge,Kigali City,-1.946264,30.0920643,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,Phone: 0796 893 000 | Website: https://all.accor.com/hotel/C0M5/index.en.shtml?goto=fiche_hotel&code_hotel=C0M5&merchantid=seo-maps-RW-C0M5&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_281372790,Htel Faucon,Huye,Southern Province,-2.6012009,29.7421504,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_281375309,Stipp Hotel,Nyarugenge,Kigali City,-1.9599921,30.0682894,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_281375390,ORTPN,Nyarugenge,Kigali City,-1.946789,30.060917,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_281375434,Kyonza,Kayonza,Eastern Province,-1.8786152,30.7035299,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317420059,Cafe de Nyamata,Bugesera,Eastern Province,-2.1448728,30.0910423,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317544049,Centre Bethanie,Karongi,Western Province,-2.0593498,29.3375948,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317544050,Camping Bethanie,Karongi,Western Province,-2.0593051,29.3380179,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317544066,Moriah Hill Hotel,Karongi,Western Province,-2.0595561,29.3316847,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317581789,Stipphotel,Rubavu,Western Province,-1.6974105,29.252128,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317581796,Lake View Hotel,Rubavu,Western Province,-1.6974355,29.2466058,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317581817,La Corniche,Rubavu,Western Province,-1.695522,29.2515366,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317581894,Lake View Guesthouse,Rubavu,Western Province,-1.6966095,29.2567498,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_317706751,Sky Hotel,Nyarugenge,Kigali City,-1.9528484,30.0574064,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_391474504,Montana Vista Hotel,Burera,Northern Province,-1.379493,29.7457374,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_435448836,King's Palace Museum,Nyanza,Southern Province,-2.3602205,29.7393582,Cultural & Historic,"history, culture",Moderate,2-3 hours,Mixed,unknown,unknown,Low,10,OpenStreetMap,2026-06-09
inzira_435804092,Htel Musanto Gisenyi,Rubavu,Western Province,-1.7071778,29.264889,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,Email: hotelmusanto@yahoo.fr,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_435897185,Htel Beaux Arts,Huye,Southern Province,-2.6037236,29.7396974,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_435932751,Kinigi Guest House,Musanze,Northern Province,-1.4326891,29.5979775,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_706263165,Sun City Hotel,Nyarugenge,Kigali City,-1.9794787,30.0401562,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_710268304,Rainbow Hotel,Kicukiro,Kigali City,-1.9736966,30.106565,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1305653363,Step Town Motel,Nyarugenge,Kigali City,-1.9411967,30.0652083,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1396063464,Kwamukecuru Parking 2KM,Musanze,Northern Province,-1.4612462,29.5241727,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_1545946610,St. Paul - Centre National de Pastorale,Nyarugenge,Kigali City,-1.9434288,30.0646023,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1709624047,Golf Eden Rock,Karongi,Western Province,-2.0617198,29.3476612,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_1729356019,Hotel des Pyrnes,Nyarugenge,Kigali City,-1.9053022,30.0429005,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1731068609,St Vincent,Huye,Southern Province,-2.5911052,29.748151,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_1732613950,Home St Jean,Karongi,Western Province,-2.0673715,29.3570756,Lodging,"accommodation, wifi",Moderate,Overnight,Indoor,unknown,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_1833128746,Hotel Barthos,Huye,Southern Province,-2.6137471,29.7388843,Lodging,accommodation,Expensive,Overnight,Indoor,Website: http://barthoshotellive.blogspot.com/,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_1839800020,Prima 2000,Nyarugenge,Kigali City,-1.9450025,30.0889784,Lodging,"accommodation, accessible",Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1841477509,Golden Hills Hotel,Nyarugenge,Kigali City,-1.9523711,30.0604224,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1841515313,Land Start Hotel,Kicukiro,Kigali City,-1.9585287,30.1110243,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1841529197,Kigali Diplomat Hotel,Kicukiro,Kigali City,-1.9529765,30.0966048,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1841530820,Serena Hotel,Nyarugenge,Kigali City,-1.9562469,30.0626615,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_1841552629,Select Boutique Hotel,Kicukiro,Kigali City,-1.9508748,30.0984072,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_2104038854,La Vedette,Nyarugenge,Kigali City,-1.9738758,30.054023,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_2141002514,Volcanoes Hotel,Musanze,Northern Province,-1.5007507,29.6321173,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,Phone: +250 252 546700 | Website: https://www.gorillashotels.com/ | Email: reservation@gorillashotels.com,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_2148723163,Home Inn Hotel,Musanze,Northern Province,-1.5036874,29.6304134,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2148723164,La Palme Hotel,Musanze,Northern Province,-1.4994939,29.6309398,Lodging,accommodation,Expensive,Overnight,Indoor,Phone: +250 252 546428 | Website: https://www.lapalmehotel.net/ | Email: frontdesk@lapalmehotel.net,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_2148723166,Hotel Muhabura,Musanze,Northern Province,-1.5001733,29.6327104,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,Phone: +250 788 364774 | Website: http://www.muhaburahotel.com/,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_2168880742,Htel Luxury,Gasabo,Kigali City,-1.9359527,30.1322202,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
